Unnamed: 0,prompt,source,prompt_no
0,And he still had not solved the problem of roping.,mnli,Og han hadde fortsatt ikke løst problemet med roping.
1,Abbey wanted to take a vacation with her husband. They were pretty poor and couldn't afford one. One day she heard about low-key internet loans.,roc,Abbey ønsket å ta en ferie med mannen sin. De var ganske fattige og hadde ikke råd til en. En dag hørte hun om lavmælte internettlån.
2,Hanson was surprised to find that there was a highly developed logic to it.,mnli,Hanson ble overrasket over å finne at det var en høyt utviklet logikk for den.
3,"Luckily, he took it for granted that I had only just come upon the scene.",mnli,Heldigvis tok han det for gitt at jeg nettopp hadde kommet til stedet.
4,"I was chagrined, and I guess I showed it.",mnli,"Jeg ble lei meg, og jeg viste det vel."
5,Tom wanted to go to the bars with friends. They all wanted to go to different downtown bars. Tom asked them all to meet him at a specific one.,roc,Tom ønsket å gå på barene med venner. De ønsket alle å gå til forskjellige barer i sentrum. Tom ba dem alle om å møte ham på en bestemt en.
6,Ben and Stan were playing baseball in their backyard. Stan aggressively hit the ball when it was thrown at him. The ball flew into the neighbor's window.,roc,Ben og Stan spilte baseball i bakgården deres. Stan slo ballen aggressivt da den ble kastet mot ham. Ballen fløy inn vinduet til naboen.
7,"Jon stared at the head, the scout's tongue lolling out on one side, split like a snake.",mnli,"Jon stirret på hodet, speiderens tunge slynget ut på den ene siden, delt som en slange."
8,Tim was running around. His parents told him to tie his laces. Tim kept ignoring them. He then tripped and busted his chin.,roc,Tim løp rundt. Foreldrene ba ham knyte lissene. Tim fortsatte å ignorere dem. Så snublet han og knuste haken.
9,Wait!' I proffered a square of laminated card and a data-disc.,mnli,Vente!' Jeg tilbød en firkant av laminert kort og en dataplate.
10,"If you should find yourself feeling any of these things, it is important that you let someone on staff know as soon as possible.",mnli,"Hvis du skulle finne på å føle noen av disse tingene, er det viktig at du gir beskjed til noen i personalet så snart som mulig."
